SE,AVG_ALL,MAX_ALL,AVG_DOWN,MAX_DOWN,AVG_UP,MAX_UP
lcgse0.shef.ac.uk,72291,273332,3602.04,5906.62,140980,273332
bohr3226.tier2.hep.manchester.ac.uk,222485,848799,136223,848799,264347,848799
marsedpm.in2p3.fr,5369.04,55330,0,0,5369.04,55330
dc2-grid-64.brunel.ac.uk,296.312,345.05,0,0,296.312,345.05
ccsrm02.in2p3.fr,19121.3,83086.6,0,0,19121.3,83086.6
storm-se-01.ba.infn.it,179061,860170,353387,860170,4734.18,8022.18
srm-biomed.gridpp.rl.ac.uk,38531.2,99770,0,0,38531.2,99770
sbgse1.in2p3.fr,19736.1,26164.9,0,0,19736.1,26164.9
se03.esc.qmul.ac.uk,192134,410033,204329,409939,179938,410033
tbn18.nikhef.nl,3000.26,3651.95,0,0,3000.26,3651.95
